Number,Subject,TimeQuest,Question,Answer,TimeTemp
0,Lesson_30,46.87,How do you say «слово» in English?,Word,53.13
1,Lesson_30,56.4,Say «это слово».,This word,64.74
2,Lesson_30,71.45,Say «это слово – английское слово».,This word is an English word.,85.42
3,Lesson_30,90.46,Ask «что это означает?»,What does it mean?,99.8
4,Lesson_30,103.52,Try to ask «что означает это слово?»,What does this word mean?,115.31
5,Lesson_30,120.52,Say «это английское слово».,It’s an English word.,131.59
6,Lesson_30,136.35,Ask again «что это означает?»,What does it mean?,146.6
7,Lesson_30,150.54,Say «мы русские».,We’re Russian.,158.88
8,Lesson_30,158.88,Say «мы здесь уже»,We’ve been here,167.77
9,Lesson_30,172.1,Now say «несколько недель».,For a few weeks.,181.9
10,Lesson_30,181.9,Ask «как долго?»,How long?,189.7
11,Lesson_30,189.7,Сколько времени вы уже здесь?,How long have you been here?,198.86
12,Lesson_30,203.97,Say «мы здесь уже несколько недель».,We’ve been here for a few  weeks.,217.84
13,Lesson_30,224.56,And how do you say «мы здесь уже со вчерашнего дня».,We’ve been here since yesterday.,239.07
14,Lesson_30,243.76,Ask «на сколько времени вы собираетесь остаться?»,How long are you going to stay?,256.73
15,Lesson_30,262.82,Now say «мы собираемся остаться»,We’re going to stay,274.34
16,Lesson_30,274.34,На несколько дней.,For a few days.,283.59
17,Lesson_30,283.59,Ask «на сколько дней?»,For how many days?,294.38
18,Lesson_30,294.38,Answer «на несколько дней».,For a few days.,303.63
19,Lesson_30,303.63,У нас немного времени.,We don’t have much time.,313.97
20,Lesson_30,319.51,Say «мне нравится Америка».,I like America.,330.39
21,Lesson_30,334.63,Ask her if she likes New York.,Do you like New York?,345.06
22,Lesson_30,349.68,"Да, мне нравится Нью‐Йорк.","Yes, I like New York.",361.2
23,Lesson_30,361.2,Вы собираетесь остаться?,You’re going to stay?,371
24,Lesson_30,371,Как долго?,How long?,377.62
25,Lesson_30,380.98,Try to ask «сколько дней?»,How many days?,389.86
26,Lesson_30,394.19,На одну неделю.,For one week.,403.17
27,Lesson_30,403.17,Say «неплохо».,Not bad.,411.79
28,Lesson_30,415.68,Say again «мы здесь уже со вчерашнего дня».,We’ve been here since yesterday.,428.65
29,Lesson_30,433.64,Now ask «что вы делали вчера?»,What did you do yesterday?,445.25
30,Lesson_30,450.97,Вот как спросить «вы купили что‐нибудь?» Listen and repeat.,Did you buy anything?,461.04
31,Lesson_30,481.35,Ask аgain «вы купили что‐нибудь?»,Did you buy anything?,490.52
32,Lesson_30,490.52,Ask «что вы купили?»,What did you buy?,499.22
33,Lesson_30,499.22,Ask «вы купили американскую газету?»,Did you buy an American newspaper?,513.19
34,Lesson_30,519.43,Answer «я купила».,I bought,527.6
35,Lesson_30,530.72,Вот как сказать «много всего». Listen and repeat.,A lot of things.,538.89
36,Lesson_30,550.23,Ask again «вы купили что‐нибудь?»,Did you buy anything?,560.69
37,Lesson_30,560.69,"Say «да, я купила много всего».","Yes, I bought a lot of things.",574.35
38,Lesson_30,574.35,Я купили американскую газету.,I bought an American newspaper.,587.6
39,Lesson_30,587.6,Для своего мужа.,For my husband.,596.49
40,Lesson_30,596.49,Say «я купила газету для него».,I bought a newspaper for him.,607.82
41,Lesson_30,611.81,И я купила ,And I bought,619.43
42,Lesson_30,619.43,Кое‐что выпить.,Something to drink.,626.69
43,Lesson_30,626.69,Ask «а вы?»,And you?,633.94
44,Lesson_30,633.94,Ask «что вы делали вчера?»,What did you do yesterday?,644.1
45,Lesson_30,648.73,Ask «вы купили что‐нибудь?»,Did you buy anything?,659.07
46,Lesson_30,666.68,Ask him if he bought a lot of things.,Did you buy a lot of things?,678.65
47,Lesson_30,678.65,Вы купили что‐нибудь для своей жены?,Did you buy anything for your wife?,691.71
48,Lesson_30,691.71,Вы купили вина для нее?,Did you buy some wine for her?,704.32
49,Lesson_30,715.88,Now say «мне ничего не нужно».,I don’t need anything.,725.86
50,Lesson_30,730.91,Я не собираюсь покупать.,I’m not going to buy.,741.61
51,Lesson_30,741.61,Try to say «я не собираюсь ничего покупать».,I’m not going to buy anything.,756.03
52,Lesson_30,763.74,Я ничего не хочу покупать.,I don’t want to buy anything.,777.8
53,Lesson_30,777.8,And how do you say «мы ничего не собираемся покупать».,We’re not going to buy anything.,793.13
54,Lesson_30,799.99,Мы ничего не хотим покупать.,We don’t want to buy anything.,812.6
55,Lesson_30,812.6,А вы?,And you?,819.31
56,Lesson_30,819.31,Вы купили что‐нибудь?,Did you buy anything?,828.84
57,Lesson_30,833.81,Try to say «мы купили много всего».,We bought а lot of things.,845.69
58,Lesson_30,851.26,Мы здесь уже со вчерашнего дня.,We’ve been here since yesterday.,863.87
59,Lesson_30,869.8,Say «мы здесь уже два дня».,We’ve been here for two days.,881.5
60,Lesson_30,881.5,И мы купили много всего.,And we bought a lot of things.,893.29
61,Lesson_30,899.25,Когда?,When?,905.78
62,Lesson_30,905.78,Вчера ,Yesterday,911.95
63,Lesson_30,915.05,Say «неплохо».,Not bad.,923.39
64,Lesson_30,923.39,Вот как сказать «вы приехали». Listen and repeat.,You arrived.,931.83
65,Lesson_30,942.99,How do you say «вы приехали»?,You arrived.,952.88
66,Lesson_30,952.88,«Вы приехали?» Listen and repeat.,Did you arrive?,960.41
67,Lesson_30,967.93,Now try to ask «когда вы приехали?»,When did you arrive?,978.81
68,Lesson_30,983.33,Try to say «мы приехали вчера».,We arrived yesterday.,994.67
69,Lesson_30,0,вслед за диктором.,Did arrive,0
70,Lesson_30,1024.85,Say again «мы приехали вчера».,We arrived yesterday.,1035.1
71,Lesson_30,1035.1,Она уточняет «вчера утром?»,Yesterday morning?,1040.91
72,Lesson_30,1040.91,Ask «что это означает?»,What does that mean?,1048.62
73,Lesson_30,1048.62,Say «это означает».,That means,1056.96
74,Lesson_30,1060.33,«Вчера утром». Listen and repeat.,Yesterday morning.,1067.68
75,Lesson_30,1076.8,"Как вы думаете, как сказать по‐английски слово «утро»?",Morning,1085.41
76,Lesson_30,1088.47,Say «вчера утром».,Yesterday morning.,1097.11
77,Lesson_30,1100.34,Ask again «когда вы приехали?»,When did you arrive?,1109.32
78,Lesson_30,1109.32,Here you are to say «сегодня утром». Listen and repeat.,This morning.,1117.94
79,Lesson_30,1123.87,Say again «сегодня утром».,This morning.,1132.27
80,Lesson_30,1132.27,Say «вчера утром».,Yesterday morning.,1140.52
81,Lesson_30,1143.83,Now say «доброе утро».,Good morning.,1151.09
82,Lesson_30,1151.09,How do you ask «когда вы приехали?»,When did you arrive?,1160.52
83,Lesson_30,1165.32,And how do you say «вы приехали».,You arrived.,1175.12
84,Lesson_30,1179.62,"Помните, как сказать «я живу в Нью‐Йорке».",I live in New York.,1190.51
85,Lesson_30,0,Try to ask «когда вы приехали в Нью‐Йорк?» ,When did you arrive in New York?,1211.2
86,Lesson_30,1220.93,Мы приехали вчера.,We arrived yesterday.,1230.81
87,Lesson_30,1230.81,Мы приехали вчера утром.,We arrived yesterday morning.,1242.15
88,Lesson_30,1247.94,Try to say «я приехала».,I arrived.,1256.82
89,Lesson_30,1259.95,Я приехала в Нью‐Йорк.,I arrived in New York.,1269.39
90,Lesson_30,1273.14,Со своей семьей.,With my family.,1280.66
91,Lesson_30,1280.66,Co своими тремя детьми.,With my three children.,1290.1
92,Lesson_30,1290.1,How do you say «со своими двумя мальчиками».,With my two boys.,1300.44
93,Lesson_30,1300.44,Своей маленькой девочкой.,My little girl.,1309.05
94,Lesson_30,1309.05,И своим мужем.,And my husband.,1316.67
95,Lesson_30,1320.49,Мы приехали вместе.,We arrived together.,1329.47
96,Lesson_30,1333.87,Ask her «в котором часу?»,At what time?,1343.03
97,Lesson_30,1343.03,Answer «мы приехали в восемь часов».,We arrived at eight o’clock.,1355.27
98,Lesson_30,1360.94,Say «я приехала вчера утром».,I arrived yesterday morning.,1374.73
99,Lesson_30,1374.73,Я приехала в девять часов.,I arrived at nine o’clock.,1385.25
100,Lesson_30,1390.26,Ask «А вы? Когда вы приехали в Нью‐Йорк?»,And you? When did you arrive in New York?,1407.04
101,Lesson_30,1414,Сегодня утром.,This morning.,1422.62
102,Lesson_30,1425.48,Now say «мы здесь уже со вчерашнего дня».,We’ve been here since yesterday.,1437.9
103,Lesson_30,1441.96,How do you ask «когда вы приехали в Америку?»,When did you arrive in America?,1454.93
104,Lesson_30,1460.84,Answer «мы приехали вчера».,We arrived yesterday.,1472.54
105,Lesson_30,1477,Мы собираемся остаться.,We’re going to stay.,1486.43
106,Lesson_30,1486.43,На одну неделю.,For one week.,1494.05
107,Lesson_30,1494.05,А потом мы собираемся уехать.,And then we’re going to leave.,1506.57
108,Lesson_30,1512.75,How do you say «завтра?»,Tomorrow,1521.55
109,Lesson_30,1521.55,Now try to say «мы собираемся уехать завтра утром».,We’re going to leave tomorrow morning.,1536.07
110,Lesson_30,1546.99,Ask her if she likes New York.,Do you like New York?,1556.78
