Number,Subject,TimeQuest,Question,Answer,TimeTemp
1,Lesson_28,83.71,Say in English «вместе».,Together,90.15
2,Lesson_28,90.15,Say «мы едем в Вашингтон».,We’re going to Washington.,100.49
3,Lesson_28,104.14,Ask «куда вы едите?»,Where are you going?,112.3
4,Lesson_28,112.3,Say again that you are going to Washington.,We’re going to Washington.,122.91
5,Lesson_28,122.91,And how do you say «мы собираемся уехать».,We’re going to leave.,134.25
6,Lesson_28,134.25,Now say «мы собираемся уехать вместе».,We are going to leave together.,146.4
7,Lesson_28,146.4,Может быть ,Maybe,153.02
8,Lesson_28,153.02,Ask me if I’m going to see my friends.,Are you going to see your friends?,164.54
9,Lesson_28,168.72,Now say «я собираюсь увидеть своего друга в Вашингтоне».,I’m going to see my friend in Washington.,184.59
10,Lesson_28,184.59,Ask is he lives there.,Does he live there?,193.84
11,Lesson_28,197.56,"Да, и он работает тоже там.","Yes, and he works there too.",209.71
12,Lesson_28,215.09,Say again «я собираюсь увидеть своего друга в Вашингтоне».,I’m going to see my friend in Washington.,230.96
13,Lesson_28,230.96,Потом я буду работать.,Then I’m going to work.,243.02
14,Lesson_28,246.52,"Я думаю, что я буду работать.",I think I’m going to work.,257.77
15,Lesson_28,263.21,Ask the woman how much money she has.,How much money do you have?,275.09
16,Lesson_28,275.09,Answer «у меня есть сто долларов».,I have one hundred dollars.,287.88
17,Lesson_28,292.17,Say «у меня ничего нет».,I don’t have anything.,302.6
18,Lesson_28,302.6,Вежливо попросите ее дать вам 90 долларов.,Please give me ninety dollars.,315.39
19,Lesson_28,320.23,"Как ей коротко ответить, что она не хочет давать вам деньги?",I don’t want to.,331.57
20,Lesson_28,335.23,Я хочу уехать.,I want to leave.,344.21
21,Lesson_28,348.86,Я еду в Бостон.,I’m going to Boston.,358.57
22,Lesson_28,358.57,Co своими друзьями.,With my friends.,366.37
23,Lesson_28,366.37,Может быть ,Maybe,372.36
24,Lesson_28,375.15,"Say «я думаю, что я еду в Бостон».",I think I’m going to Boston.,388.03
25,Lesson_28,388.03,Try to say «я хочу увидеть свих друзей там».,I want to see my friends there.,402
26,Lesson_28,402,Потом я собираюсь поработать.,Then I’m going to work.,413.25
27,Lesson_28,413.25,Say «моя жена хочет кое‐что купить».,My wife wants to buy something.,427.4
28,Lesson_28,427.4,Но у нее нет денег.,But she doesn’t have any money.,438.92
29,Lesson_28,438.92,And how do you say «ей ничего не нужно».,She doesn’t need anything.,451.53
30,Lesson_28,451.53,Нам ничего не нужно.,We don’t need anything.,461.96
31,Lesson_28,461.96,Но она хотела бы купить что‐нибудь.,But she’d like to buy something.,474.29
32,Lesson_28,474.29,Для наших детей.,For our children.,483.27
33,Lesson_28,487.53,Try to say «пожалуйста дайте мне 95 долларов».,Please give me ninety five dollars.,504.13
34,Lesson_28,509.67,Вот 100 долларов.,Here’s one hundred dollars.,520.56
35,Lesson_28,526.09,Сейчас вы можете уехать.,You can leave now.,535.98
36,Lesson_28,539.15,«Что это означает?» Listen and repeat.,What does that mean?,545.59
37,Lesson_28,561.05,Ask again «что это означает?»,What does that mean?,570.84
38,Lesson_28,570.84,Слово «shoot». Listen and repeat.,The word shoot.,578.46
39,Lesson_28,584.24,Say again «слово».,Word,591.14
40,Lesson_28,594.49,Now say «слово shoot».,The word shoot.,604.92
41,Lesson_28,604.92,Ask «что это означает?»,What does that mean?,614.53
42,Lesson_28,618.56,«Это английское слово». Listen and repeat.,It’s an English word.,626.81
43,Lesson_28,674.94,Say again «это английское слово».,It’s an English word.,686.19
44,Lesson_28,686.19,Ask if it’s an English word.,Is it an English word?,696.74
45,Lesson_28,701.48,"Say «да, я так думаю».","Yes, I think so.",711.92
46,Lesson_28,715.78,"А как сказать «я думаю, что это английское слово».",I think it’s an English word.,728.48
47,Lesson_28,728.48,Что это означает?,What does it mean?,737.09
48,Lesson_28,744.06,Now ask «вы американец?»,Are you American?,754.31
49,Lesson_28,754.31,"Она говорит «да, мы американцы». Только слушайте.","Yes, we’re American.",762.47
50,Lesson_28,762.47,"Try to say «да, мы американцы».","Yes, we’re American.",772.97
51,Lesson_28,780.05,Now try to say «у нас есть американская машина».,We have an American car.,792.66
52,Lesson_28,805.56,Скажите еще раз «у нас есть американская машина».,We have an American car.,817.64
