Number,Subject,Answer,Question,TimeQuest,TimeTemp,Cours,Length,Date,Path,NumberBD
1,Lesson_32,When did you arrive?,Когда вы приехали?,1,7,Pimsler English,894,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-001.mp3,1
2,Lesson_32,Yesterday morning.,Вчера утром.,7,9,Pimsler English,576,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-002.mp3,2
3,Lesson_32,We arrived yesterday morning.,Мы приехали вчера утром.,9,11,Pimsler English,962,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-003.mp3,3
4,Lesson_32,This,Это,11,14,Pimsler English,798,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-004.mp3,4
5,Lesson_32,This morning.,Сегодня утром.,14,17,Pimsler English,748,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-005.mp3,5
6,Lesson_32,I arrived this morning.,Я приехал сегодня утром.,17,20 ,Pimsler English,1161,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-006.mp3,6
7,Lesson_32,What did you do this morning?,Что ты делал сегодня утром?,20,22,Pimsler English,1021,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-007.mp3,7
8,Lesson_32,Did you buy anything?,Ты что-нибудь купил?,22,25,Pimsler English,842,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-008.mp3,8
9,Lesson_32,"No, I didn’t buy anything.","Нет, я ничего не покупал.",25,28,Pimsler English,1129,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-009.mp3,9
10,Lesson_32,I didn’t want anything.,Мне ничего не хотелось.,28,31,Pimsler English,1065,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-010.mp3,10
11,Lesson_32,And I didn’t buy anything.,И я ничего не купил.,31,32,Pimsler English,1051,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-011.mp3,11
12,Lesson_32,I didn’t buy anything this morning.,Сегодня утром я ничего не купил.,32,34,Pimsler English,1175,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-012.mp3,12
13,Lesson_32,Why?,Почему?,34,37,Pimsler English,786,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-013.mp3,13
14,Lesson_32,Why are you here in New York?,"Почему ты здесь, в Нью-Йорке?",37,39,Pimsler English,915,2023-10-17 17:36:21,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-014.mp3,14
15,Lesson_32,Do you have friends here?,У тебя здесь есть друзья?,39,41,Pimsler English,893,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-015.mp3,15
16,Lesson_32,"You have friends here, don’t you?","У тебя здесь есть друзья, не так ли?",41,45,Pimsler English,1240,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-016.mp3,16
17,Lesson_32,"No, I’m in New York","Нет, я в Нью-Йорке",45,49,Pimsler English,1141,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-017.mp3,17
18,Lesson_32,because,потому что,49,51,Pimsler English,670,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-018.mp3,18
19,Lesson_32,I’m going to work here.,Я собираюсь здесь работать.,51,53,Pimsler English,856,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-019.mp3,19
20,Lesson_32,for a few weeks.,на несколько недель.,53,54,Pimsler English,851,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-020.mp3,20
21,Lesson_32,I didn’t work this morning.,Я не работал сегодня утром.,54,58,Pimsler English,1244,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-021.mp3,21
22,Lesson_32,"But I think, I’m going to work.","Но я думаю, пойду работать.",58,60,Pimsler English,1116,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-022.mp3,22
23,Lesson_32,Tomorrow morning,Завтра утром,60,62,Pimsler English,810,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-023.mp3,23
24,Lesson_32,maybe,возможно,62,63,Pimsler English,604,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-024.mp3,24
25,Lesson_32,Are you here alone?,Ты здесь один?,63,67,Pimsler English,675,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-025.mp3,25
26,Lesson_32,Alone,Один,67,73,Pimsler English,599,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-026.mp3,26
27,Lesson_32,I’m here with my wife.,Say that you are here with your wife.,73,75,Pimsler English,937,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-027.mp3,27
28,Lesson_32,I’m not here alone,Я здесь не один,75,79,Pimsler English,813,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-028.mp3,28
29,Lesson_32,We are going to stay here.,Мы собираемся остаться здесь.,79,81,Pimsler English,955,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-029.mp3,29
30,Lesson_32,for a few days,на несколько дней,81,83,Pimsler English,834,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-030.mp3,30
31,Lesson_32,together,вместе,83,84,Pimsler English,609,2023-10-17 17:36:22,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-031.mp3,31
32,Lesson_32,And then,А потом,84,86,Pimsler English,594,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-032.mp3,32
33,Lesson_32,my wife is going to Washington,моя жена едет в Вашингтон.,86,91,Pimsler English,1151,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-033.mp3,33
34,Lesson_32,my wife is going to Washington alone,моя жена едет в Вашингтон одна.,91,92,Pimsler English,964,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-034.mp3,34
35,Lesson_32,she wants to see our daughter,она хочет увидеть нашу дочь,92,95,Pimsler English,1087,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-035.mp3,35
36,Lesson_32,The older one?,Старшую?,95,97,Pimsler English,839,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-036.mp3,36
37,Lesson_32,Or the younger one?,Или младшую?,97,101,Pimsler English,586,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-037.mp3,37
38,Lesson_32,The older one or the younger one?,Старшую или младшую?,101,108,Pimsler English,1222,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-038.mp3,38
39,Lesson_32,The younger one.,Младшую.,108,111,Pimsler English,751,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-039.mp3,39
